source,target,lag,p_value,f_stat
rms,centroid,1,0.0030091449022021937,8.965609372885034
rms,bandwidth,2,0.0034077420472538172,5.805758293889765
rms,zcr,1,0.02296926202335792,5.231089145984149
rms,entropy,1,0.010041958096444398,6.723084361575837
rms,energy_20_100,2,3.007013545602069e-32,96.7578129856638
rms,energy_100_250,2,4.698043773945383e-47,164.17217624818238
rms,energy_250_500,2,2.5858939354598806e-22,60.35999591470475
rms,energy_500_1000,2,2.8230676476188555e-24,67.05704736082245
centroid,rms,1,0.008894658594923378,6.945456981232876
centroid,zcr,2,2.200053136273978e-06,13.691523910515574
centroid,energy_20_100,2,0.03927974334585241,3.2770639485211364
bandwidth,rms,1,0.027312100531963264,4.924959854901063
bandwidth,centroid,1,0.034453107390444895,4.518250379171681
bandwidth,entropy,1,0.049699470103092884,3.886799021952325
bandwidth,energy_20_100,2,0.0009815559034698936,7.111314254949644
bandwidth,energy_100_250,2,0.0009459642976975859,7.150243617088566
bandwidth,energy_250_500,2,0.0001676743898884567,8.986151559835484
bandwidth,energy_500_1000,2,0.008807117850442444,4.818042347073239
zcr,centroid,2,2.5348955486930846e-21,57.06212579416591
zcr,entropy,2,8.881222635116997e-07,14.696190029356904
entropy,centroid,2,0.00773193355829359,4.953062587495329
entropy,zcr,2,4.130785627648901e-06,12.997849980496214
energy_20_100,rms,2,1.3014584940452953e-07,16.846058158366596
energy_20_100,centroid,2,0.02529571571250664,3.728815865296257
energy_20_100,bandwidth,2,0.03602330010589145,3.3657845618217506
energy_20_100,zcr,1,0.025108701287613864,5.073359883382106
energy_20_100,energy_100_250,2,0.000549773301342434,7.723517276784756
energy_100_250,rms,2,2.4072712875361345e-06,13.592209018447743
energy_100_250,centroid,2,0.044707469632332054,3.1444840139417773
energy_100_250,zcr,1,7.557095883004322e-05,16.16569310527404
energy_250_500,rms,2,2.7563519771682967e-06,13.442927631626105
energy_250_500,centroid,2,0.0397909767220427,3.263812342424211
energy_250_500,energy_100_250,2,0.012132559298684618,4.486420207820985
energy_500_1000,rms,2,1.60809462984482e-13,33.00450933288696
energy_500_1000,bandwidth,2,0.009497045654304072,4.739891277027117
energy_500_1000,energy_100_250,2,0.0013976220031326275,6.739385495427414
