source,target,lag,p_value,f_stat
rms,zcr,1,0.002752486416037226,9.42283248249788
rms,energy_20_100,2,2.3399189941052997e-29,139.14734924800095
rms,energy_100_250,2,4.495663354021638e-22,84.61442583321157
rms,energy_250_500,2,3.1423876452333744e-29,138.01853746868568
rms,energy_500_1000,2,2.859633632049747e-21,79.66340825167079
centroid,zcr,2,1.4915705167390126e-06,15.431954977971664
bandwidth,centroid,2,0.03432533763112113,3.4905945442575566
bandwidth,zcr,2,0.0025260883555923348,6.361434441899816
bandwidth,energy_100_250,1,0.035961842315534565,4.5188342750913115
zcr,centroid,2,4.6201252516993947e-07,16.991630765735678
zcr,bandwidth,2,8.892667676749223e-06,13.126524424615408
zcr,energy_20_100,2,0.02931399705017917,3.659928232084328
zcr,energy_100_250,2,0.023444020803727022,3.900616230357128
entropy,centroid,2,0.0033900148577952313,6.030078074910012
entropy,bandwidth,2,0.01884099636517079,4.137123638687521
entropy,zcr,2,0.0001614481267058403,9.557585535150217
energy_20_100,rms,2,0.00018068141982990866,9.42323494249033
energy_20_100,zcr,1,0.010329025474526821,6.830788095692653
energy_20_100,entropy,2,0.04860736780917652,3.1192404420531967
energy_20_100,energy_100_250,2,6.845622387153049e-13,37.78665680869554
energy_20_100,energy_250_500,1,5.0963923531283376e-05,17.915131902446223
energy_20_100,energy_500_1000,2,5.460394405553205e-10,26.723786904508074
energy_100_250,rms,2,0.0016344839532153848,6.855489534402211
energy_100_250,zcr,1,0.007588301330873288,7.423451960270087
energy_100_250,energy_20_100,2,2.0972914067845037e-27,122.65324714797991
energy_100_250,energy_250_500,1,7.928001174000076e-27,215.9371247521657
energy_100_250,energy_500_1000,2,7.624783873745492e-14,41.76234792859688
energy_250_500,rms,2,0.0017094436224105636,6.804398506847363
energy_250_500,zcr,1,0.01842019018805708,5.740382633319832
energy_250_500,energy_100_250,2,8.533445315363085e-06,13.178826398929054
energy_250_500,energy_500_1000,2,1.2817744984360202e-08,22.00045777988455
energy_500_1000,rms,2,1.4821384934850504e-05,12.482195859695345
energy_500_1000,energy_20_100,2,5.545076769463876e-08,19.909579401042066
energy_500_1000,energy_100_250,2,2.371635045209159e-07,17.89585131699118
energy_500_1000,energy_250_500,2,1.2322466598361614e-12,36.75176480761173
