source,target,lag,p_value,f_stat
rms,bandwidth,1,0.04814954754641083,3.9482487026549524
rms,zcr,2,2.4714209282732126e-05,11.138982367104791
rms,entropy,2,0.00010702713045453699,9.534937711284128
rms,energy_20_100,2,8.043836177901418e-24,68.46030069464071
rms,energy_100_250,2,4.196177269274842e-22,62.14817820460197
rms,energy_250_500,2,8.177664700111733e-19,50.67531500472414
rms,energy_500_1000,2,1.4847620253267535e-09,22.337287048214172
centroid,bandwidth,2,1.1165423637851617e-09,22.68089358321311
centroid,zcr,2,0.015560194682786386,4.243188251093787
centroid,entropy,2,1.2802806358870713e-23,67.70657238418939
centroid,energy_20_100,2,1.0391096193906036e-14,37.43181450684251
centroid,energy_100_250,2,0.009250842179954576,4.784624632077691
centroid,energy_250_500,2,0.0010308414442834674,7.097947563957033
bandwidth,centroid,2,1.0456436002376964e-21,60.722874937309214
bandwidth,zcr,2,7.013294684681204e-08,17.77648241050954
bandwidth,entropy,2,4.026828103461275e-21,58.639659661307675
bandwidth,energy_20_100,2,1.726293191368571e-12,30.728965616592127
bandwidth,energy_100_250,2,0.0009392214612177236,7.19710262508379
bandwidth,energy_250_500,2,0.0002960008486788733,8.434196985746983
bandwidth,energy_500_1000,2,0.004171857560844649,5.6188043092306605
zcr,rms,1,0.0017329297580014284,10.056038168410447
zcr,centroid,2,0.00026262762540662794,8.56310663740563
zcr,bandwidth,2,1.129395552213695e-05,12.004848173106966
zcr,entropy,2,0.0014369515835189,6.744804579381971
zcr,energy_20_100,2,3.071055794294256e-08,18.739957041528093
entropy,centroid,2,2.803662170207973e-31,98.67583868748886
entropy,bandwidth,2,3.956268255017902e-08,18.44367342163286
entropy,energy_20_100,2,1.1861513895069924e-27,83.39118578920412
entropy,energy_100_250,1,0.03845967869805176,4.336022326804825
entropy,energy_250_500,1,0.003782764265628496,8.565206264954806
energy_20_100,rms,2,0.022216446668694285,3.873872564625667
energy_20_100,centroid,1,9.225174765373908e-14,63.24391387240769
energy_20_100,bandwidth,2,1.6485976329074175e-07,16.78689266979722
energy_20_100,entropy,1,9.827110872093495e-05,15.736342854672463
energy_20_100,energy_100_250,1,0.020695772450175235,5.429609520232323
energy_20_100,energy_250_500,1,0.0027534354143431863,9.16846516921654
energy_100_250,centroid,2,6.800926144354872e-16,41.13624435731505
energy_100_250,zcr,2,0.044417346692596046,3.158830063944336
energy_100_250,entropy,2,2.1800363667707532e-05,11.277274955500392
energy_100_250,energy_20_100,2,2.1775358168032957e-16,42.71112626694018
energy_100_250,energy_500_1000,2,0.0007988306065884282,7.3697739811691285
energy_250_500,centroid,2,1.7750691287514222e-17,46.23610984152582
energy_250_500,bandwidth,2,0.0033504091364671123,5.849566135274506
energy_250_500,entropy,2,6.609185243103534e-07,15.195598612296928
energy_250_500,energy_20_100,2,3.2852939535389547e-16,42.14052094179367
energy_250_500,energy_500_1000,2,0.001811111627449055,6.499392649803793
energy_500_1000,rms,2,0.04201417453858404,3.216072235613588
energy_500_1000,centroid,2,0.03420560942508328,3.4279275747183675
energy_500_1000,zcr,1,0.03632176597253789,4.435526871839808
energy_500_1000,entropy,2,1.1943904310987427e-07,17.15913777180305
energy_500_1000,energy_20_100,2,0.020724154499770147,3.9458883038876067
