source,target,lag,p_value,f_stat
rms,energy_20_100,2,5.917580959347465e-15,42.96916939552051
rms,energy_100_250,2,6.779988433754552e-16,46.676780388332844
rms,energy_250_500,2,5.992566738159371e-19,59.626628935145725
rms,energy_500_1000,2,4.2617484514585807e-19,60.29185694611101
centroid,zcr,2,0.015122877090859325,4.334128143926185
centroid,energy_500_1000,2,0.03610809996746401,3.410341569469159
zcr,centroid,2,4.771847804804726e-05,10.779010430242508
zcr,bandwidth,2,0.008455717080743415,4.958365261081634
entropy,energy_20_100,1,0.040179431617309885,4.296600301236552
entropy,energy_250_500,2,0.02775422412289022,3.688294603753438
entropy,energy_500_1000,2,0.019618228769673726,4.056547225866633
energy_20_100,rms,2,7.726449429948743e-09,21.742792724621722
energy_20_100,energy_100_250,2,1.5278436331512307e-08,20.830641395764747
energy_20_100,energy_250_500,2,3.8721372816809556e-14,39.85613955536868
energy_20_100,energy_500_1000,2,0.00013270985809857473,9.59083110465902
energy_100_250,rms,2,1.2165259726390176e-06,15.203737914764131
energy_100_250,energy_20_100,2,0.0008179858759355468,7.525241875206922
energy_100_250,energy_250_500,2,0.0065691996084877155,5.231231334791458
energy_250_500,rms,2,9.220559678639272e-07,15.548528384552121
energy_250_500,energy_20_100,2,5.24359371504845e-11,28.73203772304014
energy_250_500,energy_100_250,2,7.165854840886439e-08,18.79918823282205
energy_500_1000,rms,2,4.071940402702947e-05,10.964996546761581
energy_500_1000,energy_20_100,2,6.670125421382404e-08,18.892321804568713
energy_500_1000,energy_100_250,2,0.0035729341491646588,5.89400342114338
energy_500_1000,energy_250_500,2,0.0004515795654105884,8.193444452594118
