source,target,lag,p_value,f_stat
rms,centroid,1,0.013304170350044919,6.696154424778774
rms,bandwidth,2,0.04239434804424394,3.438847674409052
rms,zcr,1,0.002373681196480507,10.497755422595299
rms,entropy,1,0.00227850233453787,10.593102346671136
rms,energy_20_100,2,0.00018114519267797927,10.901953250450614
rms,energy_100_250,2,0.00021457026053189613,10.636634825410827
rms,energy_250_500,2,0.00014224392378027687,11.284855806898149
rms,energy_500_1000,2,0.00016458897312182064,11.053178049572766
centroid,bandwidth,1,0.02070101178426732,5.790819107289006
centroid,energy_250_500,2,0.015201844858622502,4.683357438933445
centroid,energy_500_1000,2,0.03260918190145749,3.7509150694626823
bandwidth,rms,2,0.04221494373548703,3.4438565572476274
bandwidth,entropy,2,0.01415251028635419,4.772680560575415
zcr,centroid,2,0.007494326935844006,5.581579094187387
zcr,bandwidth,1,0.0008094496551573855,13.08167259989779
zcr,energy_100_250,2,0.0037595915176097425,6.490466097236473
zcr,energy_250_500,2,0.0035481646387627813,6.568236295732229
zcr,energy_500_1000,2,0.03616464523458655,3.627333579947383
entropy,bandwidth,1,0.013733728581337538,6.630093032938947
entropy,energy_250_500,2,0.006330298633804434,5.8009385807006675
entropy,energy_500_1000,2,0.013341788144002012,4.846604351353343
energy_20_100,centroid,2,0.004432603566296873,6.270489780755567
energy_20_100,zcr,1,0.009624910477576987,7.3776667276011905
energy_20_100,entropy,1,0.027105200110236927,5.253768232538266
energy_20_100,energy_500_1000,2,0.025230458097553744,4.060185915105691
energy_100_250,rms,2,0.019851327154394773,4.353050841026651
energy_100_250,centroid,2,0.0019109340619805795,7.4147151939355265
energy_100_250,zcr,1,0.0020552969147031204,10.83433970701911
energy_100_250,entropy,2,0.02748974068129049,3.956332924265431
energy_100_250,energy_500_1000,2,1.3621086320883797e-07,24.662729111079436
energy_250_500,rms,2,0.003937240838723144,6.428599636096131
energy_250_500,centroid,1,0.006847149202821616,8.111031375452715
energy_250_500,zcr,1,0.0034209877283036937,9.65655739650256
energy_250_500,entropy,1,0.029773221002929347,5.069455950218077
energy_250_500,energy_500_1000,1,1.2778482448638315e-06,32.13829553971284
energy_500_1000,zcr,2,0.022798605973469315,4.183525543781953
energy_500_1000,energy_250_500,2,0.03779764598540002,3.574798217494608
