source,target,lag,p_value,f_stat
rms,bandwidth,1,0.002179556253385783,9.596574328051553
rms,energy_20_100,1,1.7378361377422144e-11,49.863115843375596
rms,energy_100_250,2,8.124821835766371e-10,22.875875826467727
rms,energy_250_500,2,7.623053055848683e-14,34.365369760304205
rms,energy_500_1000,2,4.22837542748083e-46,166.9607982776519
centroid,zcr,2,1.2668813496718312e-08,19.640576033057254
centroid,energy_20_100,2,0.00048350518317544824,7.883595344524607
bandwidth,rms,2,0.0025121034735842616,6.139127982882607
bandwidth,zcr,1,0.007293747025969667,7.322619895444705
bandwidth,energy_20_100,1,0.008869657475877524,6.9612599486901106
bandwidth,energy_100_250,1,0.013982228982358038,6.129184001496106
bandwidth,energy_250_500,1,0.0045779627976032635,8.19120382958497
bandwidth,energy_500_1000,2,0.04042928126311206,3.251654038208442
zcr,centroid,2,1.0756183655165376e-45,164.73137805887717
zcr,bandwidth,2,1.6158143124745594e-07,16.707634176096477
zcr,entropy,2,1.5141394320152492e-17,45.74170037915182
zcr,energy_20_100,2,1.8837561313140664e-14,36.175853432722434
zcr,energy_250_500,1,0.007283509232333427,7.325222268199238
entropy,zcr,2,1.4045644147982797e-07,16.867429085429908
entropy,energy_20_100,2,4.25554555079357e-05,10.500698462581234
entropy,energy_250_500,1,0.04701049064467009,3.985625831482952
energy_20_100,rms,2,0.0001718199201918229,8.991253604924095
energy_20_100,centroid,2,4.008161109618678e-05,10.565867886878284
energy_20_100,zcr,1,0.002022847304797532,9.739201276007273
energy_20_100,entropy,1,1.7542667444223988e-07,28.946965291765437
energy_20_100,energy_100_250,1,0.0016219385706645916,10.162753592405643
energy_20_100,energy_250_500,2,2.4529145952057985e-06,13.642335096693127
energy_100_250,rms,2,4.0213318625053803e-07,15.672336975212808
energy_100_250,energy_20_100,2,9.524105824642162e-07,14.700555507946168
energy_100_250,energy_250_500,2,8.08785669086477e-40,134.3043177796939
energy_250_500,rms,2,3.19672945206791e-06,13.34757466733549
energy_250_500,energy_20_100,2,0.005170070542138778,5.382569542878332
energy_250_500,energy_100_250,2,3.226742185950341e-42,146.31219324234982
energy_500_1000,rms,2,1.3001556802178246e-14,36.65963346359383
