source,target,lag,p_value,f_stat
rms,energy_20_100,1,0.001901835211366147,10.075773993518634
rms,energy_100_250,2,3.188192295627168e-09,23.16364228212451
rms,energy_250_500,2,8.669414460628666e-07,15.731460089367511
rms,energy_500_1000,2,0.00014805073559758563,9.504881323265003
centroid,entropy,2,0.001753534516649494,6.696912432641708
centroid,energy_20_100,1,0.029651173738725698,4.842394045975332
centroid,energy_100_250,2,0.00021358645772033344,9.08115618938967
centroid,energy_250_500,2,0.0021809081021784927,6.454700035904198
centroid,energy_500_1000,2,0.020831066217889164,4.000027784426299
bandwidth,rms,2,0.02419365876073478,3.8405230794027707
bandwidth,entropy,2,0.0001117562181663826,9.83181467358205
bandwidth,energy_100_250,2,0.0008147822394182108,7.555164727233212
zcr,rms,2,5.781383869072481e-11,28.926748906361265
zcr,centroid,2,1.929756329123132e-12,34.12660530143131
zcr,bandwidth,2,0.0024429119925930315,6.3290631743428944
zcr,entropy,2,4.906301576915872e-09,22.56692386867387
zcr,energy_20_100,1,5.721805505336242e-05,17.391430217796458
zcr,energy_100_250,2,8.679967891649594e-06,12.874218645656464
zcr,energy_500_1000,2,3.293822766134691e-06,14.062496193067073
entropy,rms,1,0.04936887931947989,3.9408989378961987
entropy,bandwidth,2,0.014930343490803919,4.3564643083590555
entropy,zcr,1,0.02873812935542677,4.898600629001205
entropy,energy_20_100,2,1.9888705815826043e-05,11.872676315574813
entropy,energy_100_250,2,2.4505953498420394e-12,33.751377971859625
entropy,energy_250_500,2,0.006558291000805135,5.245495559547921
entropy,energy_500_1000,2,0.009616811139452388,4.830303882445788
energy_20_100,rms,2,4.783099595150688e-06,13.602733064255307
energy_20_100,entropy,2,0.013823814402225597,4.439158623383842
energy_20_100,energy_100_250,2,3.3684307908010104e-09,23.087275648064857
energy_100_250,rms,2,0.0005859637889434601,7.927718533000706
energy_100_250,bandwidth,2,1.9342063467814e-05,11.906115161961326
energy_100_250,entropy,2,3.0198187931281745e-06,14.169953589321683
energy_100_250,energy_20_100,2,2.4774070408022146e-05,11.609688251891747
energy_250_500,rms,2,4.187417424177342e-05,10.985161785970217
energy_250_500,zcr,2,0.027986141358555643,3.685694542471928
energy_250_500,energy_500_1000,2,0.0008587135660584631,7.496008140799
energy_500_1000,rms,2,0.0001944040693429111,9.189707289684547
energy_500_1000,energy_250_500,2,0.023073450193496842,3.8910111626553947
