Patient ID,split
2530,train
9979,val
9983,train
13918,train
14241,val
14998,train
23625,train
24160,train
29045,val
29378,train
31737,train
33151,train
36327,train
38337,val
39043,val
39403,train
39456,train
40058,train
40798,train
40840,train
43852,train
44514,val
45843,val
46065,train
46532,train
46579,train
46778,train
47002,train
49558,train
49561,test
49562,train
49568,train
49572,val
49574,train
49577,train
49585,train
49595,train
49598,train
49607,test
49610,train
49618,test
49622,train
49627,train
49628,train
49630,train
49631,train
49638,train
49641,test
49653,train
49659,train
49661,train
49669,train
49678,val
49683,test
49687,train
49691,train
49704,train
49712,test
49719,train
49729,test
49735,val
49745,test
49748,train
49751,test
49754,val
49761,test
49776,train
49808,val
49821,train
49823,train
49824,test
49829,train
49832,test
49838,train
49839,train
49842,val
49850,test
49853,train
49854,train
49873,val
49876,train
49896,val
49897,train
49900,train
49930,train
49931,val
49946,train
49952,train
49959,train
49960,train
49963,train
49966,train
49968,test
49969,train
49970,val
49974,train
49978,train
49979,train
49980,val
49983,train
49986,train
49987,train
49988,train
49989,train
49990,train
49993,val
49994,train
49995,train
49998,val
49999,val
50001,val
50004,train
50005,test
50006,train
50007,train
50008,test
50009,test
50012,train
50014,val
50015,train
50017,train
50018,train
50023,train
50026,test
50027,train
50029,train
50030,train
50032,train
50034,train
50037,test
50043,val
50047,train
50048,train
50049,train
50053,train
50054,train
50056,test
50057,test
50061,train
50066,train
50067,train
50070,train
50072,train
50074,train
50075,train
50076,train
50077,train
50078,val
50079,train
50080,test
50085,test
50086,train
50089,train
50092,train
50094,test
50096,train
50099,train
50100,val
50103,train
50104,train
50105,val
50109,train
50111,train
50113,train
50115,train
50116,train
50117,train
50118,train
50119,test
50121,test
50122,train
50123,train
50125,train
50126,train
50127,train
50128,train
50129,train
50133,train
50136,val
50137,train
50138,train
50141,train
50142,val
50143,train
50145,test
50146,train
50149,val
50150,val
50151,train
50152,val
50153,train
50155,train
50159,val
50160,train
50161,test
50164,train
50165,train
50166,train
50168,val
50174,train
50204,train
50206,train
50207,train
50209,train
50210,train
50213,test
50214,val
50216,train
50217,train
50218,test
50219,train
50220,train
50221,test
50222,train
50225,train
50228,test
50229,train
50230,test
50231,test
50233,train
50238,train
50239,train
50241,train
50244,val
50247,train
50248,train
50249,train
50250,val
50251,train
50254,train
50255,train
50256,train
50258,test
50260,train
50261,train
50263,train
50264,train
50271,train
50272,test
50273,val
50275,train
50276,train
50277,train
50278,train
50280,train
50281,train
50284,train
50285,val
50289,train
50291,val
50295,train
50296,train
50297,train
50298,train
50299,train
50300,test
50303,val
50304,train
50306,train
50311,train
50312,train
50314,val
50316,train
50317,train
50318,train
50319,train
50321,train
50323,train
50325,train
50326,train
50327,train
50330,train
50331,train
50332,train
50334,train
50335,train
50336,train
50337,train
50339,train
50341,val
50342,train
50343,val
50345,train
50348,train
50349,train
50350,train
50352,train
50354,train
50359,train
50375,test
50379,train
50384,train
50385,train
50386,train
50388,train
50391,train
50393,train
50619,test
50620,train
50621,val
50624,test
50625,train
50626,train
50628,train
50629,test
50631,train
50635,train
50636,train
50639,train
50640,val
50641,train
50643,train
50644,train
50645,train
50646,val
50647,train
50649,val
50652,train
50654,train
50655,train
50656,test
50657,train
50658,train
50659,test
50661,train
50664,train
50665,train
50667,test
50668,train
50669,test
50671,train
50673,train
50676,train
50677,train
50678,train
50680,train
50685,train
50687,val
50688,train
50689,train
50690,train
50691,train
50693,train
50699,train
50704,train
50707,train
50708,val
50713,val
50715,train
50720,test
50721,test
50722,train
50723,val
50725,test
50727,train
50729,val
50731,val
50732,train
50734,train
50735,train
50736,train
50737,train
50738,train
50739,train
50740,train
50742,train
50743,train
50744,test
50746,val
50747,test
50748,train
50749,train
50751,train
50752,train
50753,train
50754,train
50756,train
50757,train
50758,val
50762,test
50763,train
50766,test
50768,val
50770,test
50771,train
50772,train
50773,train
50774,val
50776,train
50781,val
50782,test
50784,train
50787,test
50788,train
50789,train
50790,train
50793,test
50795,train
50796,train
50797,train
50798,train
50800,test
50802,train
50803,test
50805,test
50807,val
50812,test
50815,train
50818,test
50819,train
50820,train
50822,val
50826,test
50829,train
51064,train
51331,test
55945,train
57700,train
57706,train
59536,train
61117,train
61610,train
63456,train
63581,train
64256,test
64715,train
68175,train
68182,train
68186,train
68194,train
68204,test
68213,train
68219,train
68222,train
68255,train
68260,train
68269,train
68279,test
68292,test
68298,train
68303,train
68306,train
68316,train
68318,train
68327,test
68330,train
68337,test
68347,val
68359,train
68363,train
68368,train
68374,train
68377,train
68379,train
68394,train
68395,val
68404,train
68406,train
68407,train
68412,train
68413,train
68419,val
68423,test
68425,train
68427,train
68431,train
68432,val
68435,train
68436,train
68444,test
68449,train
68456,val
68460,val
68465,train
68470,train
68477,val
68478,val
68482,test
68484,train
68487,train
68498,test
68504,test
68532,test
68545,train
68556,train
68560,test
68567,train
68576,test
68582,test
68624,train
68632,train
68646,test
68659,train
68660,train
68682,train
68698,test
68702,train
68705,test
68708,train
68711,val
68737,train
68738,train
68740,train
68741,train
68752,train
68755,train
68756,val
68757,test
68796,test
68827,train
68831,train
68849,train
68857,test
68861,train
68864,train
68874,train
68886,train
68887,test
68888,val
68895,train
68901,train
68908,test
68909,train
68952,train
69060,train
69066,train
69067,val
69068,test
69079,train
69093,train
69095,val
69096,train
69106,train
69112,val
69120,train
69125,test
69129,val
69141,train
69144,train
69147,train
69152,train
69155,val
69159,train
69161,train
69174,val
69176,train
69188,train
70280,train
72283,val
72288,train
73316,train
73497,train
74417,train
74420,train
75440,train
76240,val
76758,val
77373,test
78280,train
78582,test
78592,train
80348,train
81035,train
81297,train
81501,train
81638,train
82275,train
83094,train
84687,train
84688,test
84689,train
84690,val
84692,train
84693,val
84695,train
84696,train
84697,train
84699,train
84702,train
84704,val
84706,test
84708,test
84709,train
84710,train
84711,test
84713,train
84714,test
84716,train
84718,val
84720,train
84721,train
84724,train
84725,train
84727,train
84730,test
84731,train
84732,train
84733,train
84734,train
84735,train
84736,train
84738,train
84740,test
84742,val
84743,train
84746,val
84747,val
84749,train
84750,train
84751,train
84753,val
84754,val
84755,train
84758,train
84760,test
84761,test
84762,train
84764,train
84765,train
84768,train
84769,train
84775,test
84776,val
84778,train
84779,train
84780,val
84784,train
84785,train
84786,train
84790,train
84793,test
84796,val
84798,train
84799,train
84802,train
84803,test
84804,test
84805,train
84807,test
84808,test
84809,train
84813,train
84814,train
84815,val
84822,test
84823,val
84824,train
84826,train
84829,train
84831,val
84834,train
84835,val
84837,train
84838,train
84839,train
84840,val
84851,train
84852,train
84853,train
84854,val
84855,train
84856,train
84857,train
84859,train
84861,train
84863,train
84864,train
84865,test
84866,train
84868,train
84870,train
84874,train
84875,train
84876,val
84877,val
84878,train
84879,train
84881,train
84882,train
84883,train
84884,train
84885,train
84886,train
84887,train
84890,train
84892,train
84893,train
84894,train
84896,test
84900,train
84912,train
84917,train
84918,train
84919,train
84920,train
84921,train
84922,train
84923,val
84928,train
84930,val
84931,train
84933,train
84934,train
84935,train
84936,train
84937,train
84939,test
84942,train
84945,train
84946,train
84947,train
84949,train
84950,val
84952,train
84957,train
84960,val
84961,val
84962,train
84965,train
84966,val
84969,train
84970,val
84971,test
84973,val
84974,train
84976,train
84977,train
84978,train
84982,train
84983,train
84984,train
84985,train
84986,train
84987,train
84988,val
84990,train
84991,train
84992,val
84993,train
84994,train
84995,train
84996,test
85000,test
85002,train
85004,test
85010,val
85011,train
85012,train
85018,val
85019,train
85020,train
85023,train
85024,train
85026,train
85027,train
85028,val
85029,train
85030,train
85031,test
85033,train
85034,train
85035,train
85036,train
85037,train
85038,train
85042,train
85043,train
85044,train
85046,train
85048,train
85052,train
85053,val
85055,train
85057,train
85062,train
85063,train
85064,train
85066,train
85069,train
85075,val
85076,train
85077,test
85079,train
85080,train
85081,test
85084,train
85086,test
85087,train
85090,train
85091,val
85093,train
85094,train
85096,val
85099,val
85100,train
85102,val
85103,val
85105,val
85108,test
85109,train
85110,train
85112,val
85113,train
85114,train
85115,test
85116,train
85118,test
85119,train
85121,val
85122,val
85123,train
85124,train
85127,val
85128,test
85131,train
85132,train
85133,train
85134,train
85135,train
85136,train
85139,train
85140,train
85143,train
85144,test
85145,val
85147,test
85148,train
85150,train
85151,train
85152,train
85153,train
85154,train
85155,train
85157,train
85159,train
85161,val
85162,train
85163,train
85164,val
85165,train
85166,train
85167,train
85168,train
85169,test
85172,train
85174,train
85175,train
85176,train
85180,train
85181,train
85182,train
85184,val
85186,test
85192,train
85196,train
85197,train
85198,train
85199,train
85202,train
85203,test
85207,train
85210,train
85212,test
85213,test
85214,train
85216,train
85217,test
85219,train
85222,test
85225,train
85226,train
85227,test
85229,train
85230,train
85234,train
85235,train
85236,val
85239,train
85240,test
85241,train
85242,train
85243,train
85244,test
85245,train
85246,test
85247,train
85249,train
85250,test
85252,train
85253,val
85258,train
85259,train
85261,train
85262,train
85264,train
85265,train
85269,val
85270,train
85276,test
85277,train
85278,train
85279,train
85282,train
85285,test
85286,test
85287,train
85288,train
85293,val
85294,train
85296,train
85299,val
85300,train
85301,test
85305,train
85306,test
85308,train
85312,train
85313,train
85315,train
85316,val
85317,test
85319,train
85321,train
85322,train
85323,train
85326,train
85327,train
85328,val
85329,train
85331,train
85332,train
85334,train
85335,val
85336,train
85337,test
85338,val
85339,train
85340,train
85341,train
85343,val
85345,val
85349,train
